tensor([[[[0.5556]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5252]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4558]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3967]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3892]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4455]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4198]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5373]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4805]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3511]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5028]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4414]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5302]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5158]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4497]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3864]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5134]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4361]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3972]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3683]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4497]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3930]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4517]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3940]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4219]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3509]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4248]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4671]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3825]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3921]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4506]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3562]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4666]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4564]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4001]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4172]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4288]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4815]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3601]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5377]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.3967]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4133]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5168]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.5146]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4186]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4689]]]], device='cuda:0', grad_fn=<AddBackward0>)
tensor([[[[0.4382]]]], device='cuda:0', grad_fn=<AddBackward0>)
